Thornglint Bridge,"['self enter W battlefield tap .', 'indestruct', '{ W } : add { g } W { w } .']"
Arcane Denial,"[""counter target spell . W control may draw W W two card W W begin W W next turn 's upkeep ."", ""W draw W card W W begin W W next turn 's upkeep .""]"
Gruul Nodorog,['{ r } : self gain menac W end W turn .']
Heroes' Bane,"['self enter W battlefield W four +1/+1 counter W W .', '{ 2 } { g } { g } : put x +1/+1 counter W self , W x W W power .']"
Treva's Attendant,"['{ 1 } , sacrific self : add { g } { w } { u } .']"
Jalum Tome,"['{ 2 } , { W } : draw W card , W discard W card .']"
Shadow Alley Denizen,"['whenev anoth black creatur enter W battlefield W W control , target creatur gain intimid W end W turn .']"
"Archangel Avacyn // Avacyn, the Purifier",[]
Tornado Elemental,"['W self enter W battlefield , W deal 6 damag W W creatur W fli .', ""W may W self assign W combat damag W though W W n't block .""]"
Chill,['red spell cost { 2 } W W cast .']
Supreme Will,"['choos one —', '• counter target spell unless W control pay { 3 } .', '• look W W top four card W W librari . put one W W W W hand W W rest W W bottom W W librari W W order .']"
Lashknife Barrier,"['W self enter W battlefield , draw W card .', 'W W sourc would deal damag W W creatur W control , W deal W much damag minu 1 W W creatur instead .']"
Manic Vandal,"['W self enter W battlefield , destroy target artifact .']"
"Kolaghan, the Storm's Fury","['fli', 'whenev W dragon W control attack , creatur W control get +1/+0 W end W turn .', 'dash { 3 } { b } { r }']"
Deglamer,['choos target artifact W enchant . W owner shuffl W W W librari .']
Bloodcrazed Neonate,"['self attack W combat W abl .', 'whenev self deal combat damag W W player , put W +1/+1 counter W W .']"
Devout Harpist,['{ W } : destroy target aura attach W W creatur .']
Hunted Nightmare,"['menac', 'W self enter W battlefield , target oppon put W deathtouch counter W W creatur W control .']"
Lose Focus,"['replic { u }', 'counter target spell unless W control pay { 2 } .']"
Spellbinding Soprano,"['whenev self attack , instant W sorceri spell W cast W turn cost { 1 } less W cast .', 'encor { 3 } { r }']"
Seafloor Stalker,"[""{ 4 } { u } : self get +1/+0 W end W turn W ca n't W block W turn . W abil cost { 1 } less W activ W W creatur W W parti .""]"
Smothering Tithe,"[""whenev W oppon draw W card , W player may pay { 2 } . W W player W n't , W creat W treasur token .""]"
Dakmor Sorceress,"[""self 's power W equal W W number W swamp W control .""]"
Dromar's Attendant,"['{ 1 } , sacrific self : add { w } { u } { b } .']"
Dwarven Lightsmith,"['assist', 'W self enter W battlefield , creatur W team control get +1/+1 W end W turn .']"
Champion of Dusk,"['W self enter W battlefield , W draw x card W W lose x life , W x W W number W vampir W control .']"
Wall of Mourning,"['defend', 'W self enter W battlefield , exil W card W W top W W librari face W W W oppon W W .', ""coven — W W begin W W end step , W W control three W W creatur W differ power , put W card exil W self W W owner 's hand .""]"
Woolly Spider,"['reach', 'whenev self block W creatur W fli , self get +0/+2 W end W turn .']"
Pendrell Drake,"['fli', 'cycl { 2 }']"
Abstruse Interference,"['devoid', ""counter target spell unless W control pay { 1 } . W creat W 1/1 colorless eldrazi scion creatur token . W W `` sacrific W creatur : add { c } . ''""]"
Flaming Fist Officer,"['whenev anoth creatur W control leav W battlefield , put W +1/+1 counter W self .']"
Hungering Hydra,"['self enter W battlefield W x +1/+1 counter W W .', ""self ca n't W block W W W one creatur ."", 'whenev self W dealt damag , put W mani +1/+1 counter W W .']"
Veldt,"[""self W n't untap W W untap step W W W W deplet counter W W ."", 'W W begin W W upkeep , remov W deplet counter W self .', '{ W } : add { g } W { w } . put W deplet counter W self .']"
Thousand Winds,"['fli', 'morph { 5 } { u } { u }', ""W self W turn face W , return W W tap creatur W W owner ' hand .""]"
"Ellyn Harbreeze, Busybody","['{ W } : look W W top x card W W librari , W x W W number W token W creat W turn . put one W W card W W hand W W rest W W bottom W W librari W W random order .', 'choos W background']"
Jinxed Choker,"['W W begin W W end step , target oppon gain control W self W put W charg counter W W .', 'W W begin W W upkeep , self deal damag W W equal W W number W charg counter W W .', '{ 3 } : put W charg counter W self W remov one W W .']"
"Kytheon, Hero of Akros // Gideon, Battle-Forged",[]
Silent Departure,"[""return target creatur W W owner 's hand ."", 'flashback { 4 } { u }']"
Thunderblust,"['hast', 'self W trampl W long W W W W -1/-1 counter W W .', 'persist']"
"Sekki, Seasons' Guide","['self enter W battlefield W eight +1/+1 counter W W .', 'W damag would W dealt W self , prevent W damag , remov W mani +1/+1 counter W self , W creat W mani 1/1 colorless spirit creatur token .', 'sacrific eight spirit : return self W W graveyard W W battlefield .']"
Beast of Burden,"[""self 's power W tough W W equal W W number W creatur W W battlefield .""]"
Ghirapur Guide,"[""{ 2 } { g } : target creatur W control ca n't W block W creatur W power 2 W less W turn .""]"
Entreat the Angels,"['creat x 4/4 white angel creatur token W fli .', 'miracl { x } { w } { w }']"
Dingus Staff,"[""whenev W creatur die , self deal 2 damag W W creatur 's control .""]"
Oona's Blackguard,"['fli', 'W W rogu creatur W control enter W battlefield W W addit +1/+1 counter W W .', 'whenev W creatur W control W W +1/+1 counter W W deal combat damag W W player , W player discard W card .']"
Seagraf Skaab,[]
Captive Audience,"['self enter W battlefield W W control W W oppon W W choic .', ""W W begin W W upkeep , choos one W W n't W chosen —"", '• W life total becom 4 .', '• discard W hand .', '• W oppon creat five 2/2 black zombi creatur token .']"
Ochran Assassin,"['deathtouch', 'W creatur abl W block self W W .']"
Goblin Trenches,"['{ 2 } , sacrific W land : creat two 1/1 red W white goblin soldier creatur token .']"
Secrets of the Dead,"['whenev W cast W spell W W graveyard , draw W card .']"
Comet Storm,"['multikick { 1 }', 'choos W target , W choos anoth target W W time W spell W kick . self deal x damag W W W W .']"
Labyrinth Minotaur,"[""whenev self block W creatur , W creatur W n't untap W W control 's next untap step .""]"
Genesis Storm,"[""W W cast W spell , copi W W W time W 've cast W command W W command zone W game ."", ""reveal card W W top W W librari W W reveal W non-land perman card . W may put W card onto W battlefield . W put W card reveal W way W W n't put onto W battlefield W W bottom W W librari W W random order .""]"
Opal Lake Gatekeepers,"['W self enter W battlefield , W W control two W W gate , W may draw W card .']"
"Radha, Heart of Keld","[""W long W W 's W turn , self W first strike ."", 'W may look W W top card W W librari W time , W W may play land W W top W W librari .', '{ 4 } { r } { g } : self get +x/+x W end W turn , W x W W number W land W control .']"
Frogmite,['affin W artifact']
Reality Hemorrhage,"['devoid', 'self deal 2 damag W W target .']"
Aerathi Berserker,['rampag 3']
Perilous Research,"['draw two card , W sacrific W perman .']"
Loot Dispute,"['W self enter W battlefield , W take W initi W creat W treasur token .', 'whenev W attack W player W W W initi , creat W treasur token .', 'loud rucku — whenev W complet W dungeon , creat W 5/5 red dragon creatur token W fli .']"
Will-o'-the-Wisp,"['fli', '{ b } : regener self .']"
Thraben Doomsayer,"['{ W } : creat W 1/1 white human creatur token .', 'fate hour — W long W W W 5 W less life , W creatur W control get +2/+2 .']"
Shielded by Faith,"['enchant creatur', 'enchant creatur W indestruct .', 'whenev W creatur enter W battlefield , W may attach self W W creatur .']"
Sudden Shock,"['split second', 'self deal 2 damag W W target .']"
Quicken,"['W next sorceri spell W cast W turn W W cast W though W W flash .', 'draw W card .']"
Stoic Ephemera,"['defend', 'fli', 'W self block , sacrific W W end W combat .']"
Choking Tethers,"['tap W W four target creatur .', 'cycl { 1 } { u }', 'W W cycl self , W may tap target creatur .']"
"Pako, Arcane Retriever","['partner W name_haldan__avid_arcanist', 'hast', ""whenev self attack , exil W top card W W player 's librari W put W fetch counter W W W W . put W +1/+1 counter W self W W non-creatur card exil W way .""]"
"Teferi, Time Raveler","['W oppon W cast spell W W time W could cast W sorceri .', '+1 : W W next turn , W may cast sorceri spell W though W W flash .', ""-3 : return W W one target artifact , creatur , W enchant W W owner 's hand . draw W card .""]"
Cut the Earthly Bond,"[""return target enchant perman W W owner 's hand .""]"
Curse of Unbinding,"['enchant player', ""W W begin W enchant player 's upkeep , W player reveal card W W top W W librari W W reveal W creatur card . put W card onto W battlefield W W control . W player put W rest W W reveal card W W graveyard .""]"
"Zabaz, the Glimmerwasp","['modular 1', 'W W modular trigger abil would put one W W +1/+1 counter W W creatur W control , W mani plu one +1/+1 counter W put W W instead .', '{ r } : destroy target artifact W control .', '{ w } : self gain fli W end W turn .']"
Elminster,"['whenev W scri , W next instant W sorceri spell W cast W turn cost { x } less W cast , W x W W number W card look W W scri W way .', '+2 : draw W card , W scri 2 .', ""-3 : exil W top card W W librari . creat W number W 1/1 blue faeri dragon creatur token W fli equal W W card 's mana valu ."", 'self W W W command .']"
Rakdos Carnarium,"['self enter W battlefield tap .', ""W self enter W battlefield , return W land W control W W owner 's hand ."", '{ W } : add { b } { r } .']"
Terror of the Peaks,"['fli', 'spell W oppon cast W target self cost W addit 3 life W cast .', ""whenev anoth creatur enter W battlefield W W control , self deal damag equal W W creatur 's power W W target .""]"
Scorching Missile,"['self deal 4 damag W target player W planeswalk .', 'flashback { 9 } { r }']"
Gate Hound,['creatur W control W vigil W long W self W enchant .']
Diabolic Tutor,"['search W librari W W card , put W card W W hand , W shuffl .']"
The Bears of Littjara,"['', 'W — creat W 2/2 blue shapeshift creatur token W changel .', 'ii — W number W target shapeshift creatur W control W base power W tough 4/4 .', 'iii — choos W W one target creatur W planeswalk . W creatur W power 4 W greater W control deal damag equal W W power W W perman .']"
Hulking Ogre,"[""self ca n't block .""]"
Boon of Boseiju,"['target creatur get +x/+x W end W turn , W x W W greatest mana valu among perman W control . untap W .']"
Wizard Replica,"['fli', '{ u } , sacrific self : counter target spell unless W control pay { 2 } .']"
Hex,['destroy six target creatur .']
Customs Depot,"['whenev W cast W creatur spell , W may pay { 1 } . W W W , draw W card , W discard W card .']"
Seeker,"['enchant creatur', ""enchant creatur ca n't W block except W artifact creatur and/or white creatur .""]"
Ominous Seas,"['whenev W draw W card , put W foreshadow counter W self .', 'remov eight foreshadow counter W self : creat W 8/8 blue kraken creatur token .', 'cycl { 2 }']"
"Kozilek, Butcher of Truth","['W W cast W spell , draw four card .', 'annihil 4', 'W self W put W W graveyard W anywher , W owner shuffl W graveyard W W librari .']"
Scarred Puma,"[""self ca n't attack unless W black W green creatur also attack .""]"
Banisher Priest,"['W self enter W battlefield , exil target creatur W oppon control W self leav W battlefield .']"
Sudden Impact,"[""self deal damag W target player equal W W number W card W W player 's hand .""]"
Avatar of Discord,"['', 'fli', 'W self enter W battlefield , sacrific W unless W discard two card .']"
Orzhov Basilica,"['self enter W battlefield tap .', ""W self enter W battlefield , return W land W control W W owner 's hand ."", '{ W } : add { w } { b } .']"
Mind Drain,"['target oppon discard two card , mill W card , W lose 1 life . W gain 1 life .']"
Rubblehulk,"[""self 's power W tough W W equal W W number W land W control ."", 'bloodrush — { 1 } { r } { g } , discard self : target attack creatur get +x/+x W end W turn , W x W W number W land W control .']"
Amoeboid Changeling,"['changel', '{ W } : target creatur gain W creatur type W end W turn .', '{ W } : target creatur lose W creatur type W end W turn .']"
Dimir Aqueduct,"['self enter W battlefield tap .', ""W self enter W battlefield , return W land W control W W owner 's hand ."", '{ W } : add { u } { b } .']"
Niblis of the Breath,"['fli', '{ u } , { W } : W may tap W untap target creatur .']"
Trygon Predator,"['fli', 'whenev self deal combat damag W W player , W may destroy target artifact W enchant W player control .']"
Tourach's Chant,"['W W begin W W upkeep , sacrific self unless W pay { b } .', 'whenev W player put W forest onto W battlefield , self deal 3 damag W W player unless W put W -1/-1 counter W W creatur W control .']"
Wrong Turn,['target oppon gain control W target creatur .']
Kor Line-Slinger,['{ W } : tap target creatur W power 3 W less .']
